Student ID,Student Name,Total Score,Skill Score,Major Score,Interest Score,Matched Skills,Missing Skills,Student Majors
n02313107,Jordan Jackson,0.875,0.875,1.0,0.5,"scikitlearn, machine learning, data analytics, python, cyber security",deep learning,computer science specialization in cyber security
n07268728,Rowan Moore,0.862,0.875,1.0,0.375,"scikitlearn, machine learning, data analytics, python, cyber security",deep learning,computer science specialization in cyber security
n08777074,Jamie Young,0.862,0.875,1.0,0.375,"scikitlearn, machine learning, data analytics, python, cyber security",deep learning,computer science
n11283106,Rory Brown,0.8,0.75,1.0,0.5,"scikitlearn, machine learning, data analytics, python, cyber security","deep learning, artificial intelligence",computer science
n15664732,Rory Flores,0.787,0.75,1.0,0.375,"scikitlearn, machine learning, data analytics, python, cyber security","deep learning, artificial intelligence",computer science and cyber security
n00596089,Madison White,0.787,0.75,1.0,0.375,"scikitlearn, machine learning, data analytics, python, cyber security","deep learning, artificial intelligence",computer science with a minor in data analytics
n00767167,Jordan Allen,0.787,0.75,1.0,0.375,"scikitlearn, machine learning, data analytics, python, cyber security","deep learning, artificial intelligence",computer science cyber security specialization
n01025709,Tyler Brown,0.787,0.75,1.0,0.375,"scikitlearn, machine learning, data analytics, python, cyber security","deep learning, artificial intelligence",computer science
n02866979,Drew Johnson,0.725,0.625,1.0,0.5,"scikitlearn, data analytics, python, cyber security, security","deep learning, artificial intelligence, machine learning",computer science
n12231776,Casey Anderson,0.713,0.625,1.0,0.375,"scikitlearn, data analytics, python, cyber security, security","deep learning, artificial intelligence, machine learning",computer science with a minor in data analytics
