Student ID,Student Name,Total Score,Skill Score,Major Score,Interest Score,Matched Skills,Missing Skills,Student Majors
n05873042,Peyton Garcia,0.76,0.7,1.0,0.4,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning, gan",data analytics with cyber security specialization
n01429702,Blake Smith,0.76,0.7,1.0,0.4,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning, gan",computer science
n04735911,Kendall Williams,0.76,0.7,1.0,0.4,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning, gan",computer science
n12525597,Sydney King,0.76,0.7,1.0,0.4,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning, gan",computer science with a minor in data analytics
n02367825,Cameron Rodriguez,0.76,0.7,1.0,0.4,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning, gan",computer science
n03419818,Finley Miller,0.76,0.7,1.0,0.4,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning, gan",computer science
n00201193,Reagan Anderson,0.76,0.7,1.0,0.4,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning, gan",computer science
n07440256,Parker Allen,0.76,0.7,1.0,0.4,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning, gan",computer science
n07418871,Finley Brown,0.75,0.7,1.0,0.3,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning, gan",computer science
n15508042,Cameron Jones,0.75,0.7,1.0,0.3,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning, gan",computer science
